,시군구_명,상권_코드_명,서비스_업종_코드_명,매출/점포수,증감률
76,강남구,도곡시장,미용실,137791004.125,-8.51678309874832
77,강남구,도곡시장,스포츠클럽,803366693.625,-44.02666911719146
78,강남구,도곡시장,PC방,1061254462.4375,-10.899465152478655
79,강남구,도곡시장,한의원,149869093.3333333,-16.711635830273906
80,강남구,도곡시장,일반의원,673614169.35,64.10539215524393
81,강남구,도곡시장,스포츠 강습,259681479.56891027,-4.7550978068371705
82,강남구,도곡시장,외국어학원,22097474.666666668,154.7380430683577
83,강남구,도곡시장,패스트푸드점,531887280.0,-22.262569753545918
84,강남구,도곡시장,한식음식점,129934604.5,46.70793053353542
85,강남구,도곡시장,분식전문점,2418619.5,-22.63201177365849
86,강남구,청담삼익시장,섬유제품,0.0,0.0
87,강남구,청담삼익시장,화장품,81846699.5,7.429021291375193
88,강남구,청담삼익시장,문구,104367981.5,54.58860627672482
89,강남구,청담삼익시장,의약품,416474300.0,42.599650686729035
90,강남구,청담삼익시장,가방,13230095.666666666,25.18898389422077
91,강남구,청담삼익시장,일반의류,117463342.51648352,28.570573332168294
92,강남구,청담삼익시장,반찬가게,35132755.0,-0.7850715094788256
93,강남구,청담삼익시장,슈퍼마켓,1130720.0,133.29014846983557
94,강남구,청담삼익시장,피부관리실,38399366.16666667,20.260470271564387
95,강남구,청담삼익시장,미용실,57225317.400000006,-0.9072787598029208
96,강남구,청담삼익시장,한의원,76473098.0,-37.27589145139641
97,강남구,청담삼익시장,스포츠 강습,103494362.0,-1.4247790618777856
98,강남구,청담삼익시장,예술학원,6503475.8,119.81240189599578
99,강남구,청담삼익시장,외국어학원,41287770.5,154.7380430683577
100,강남구,청담삼익시장,분식전문점,5616130.5,99.27170110849588
101,강남구,청담삼익시장,제과점,390436822.0,63.12261244663034
102,강남구,청담삼익시장,일식음식점,105329507.0,6.940896438450068
103,강남구,청담삼익시장,한식음식점,219611877.66666666,46.70793053353542
104,강남구,청담삼익시장,신발,26302341.0,92.46038491155036
105,강남구,논현종합시장,조명용품,0.0,0.0
106,강남구,논현종합시장,한식음식점,174659699.0,-82.83420693402202
107,강남구,영동전통시장,조명용품,2461811.0,433.7208303664099
108,강남구,영동전통시장,인테리어,155660.25,273.4554592845919
109,강남구,영동전통시장,철물점,53876183.5,37.044619168319514
110,강남구,영동전통시장,가구,0.0,0.0
111,강남구,영동전통시장,섬유제품,188967849.2,41.3155395686926
112,강남구,영동전통시장,의약품,36059007.583333336,70.2000002583728
113,강남구,영동전통시장,신발,23576744.0,65.38425322852044
114,강남구,영동전통시장,일반의류,94221667.74404761,5.1687864840288995
115,강남구,영동전통시장,반찬가게,392919772.509375,84.05225503218438
116,강남구,영동전통시장,청과상,218786934.39999998,39.19126444500253
117,강남구,영동전통시장,수산물판매,29312314.545454547,235.82002434496664
118,강남구,영동전통시장,육류판매,532086917.0,80.03933796214727
119,강남구,영동전통시장,미곡판매,702096488.3333335,27.441884109694257
120,강남구,영동전통시장,핸드폰,201196752.0,-98.38649582176157
121,강남구,영동전통시장,편의점,489044941.0,-4.072788885060774
122,강남구,영동전통시장,슈퍼마켓,1244697103.6855392,-1.4257874681537288
123,강남구,영동전통시장,노래방,98490359.125,-71.86964218965574
124,강남구,영동전통시장,피부관리실,4095406.0,119.55186254135279
125,강남구,영동전통시장,미용실,20837632.8,-43.86706280123464
126,강남구,영동전통시장,자동차수리,293331435.0,49.70443587132078
127,강남구,영동전통시장,당구장,74839685.0,-55.08154285612862
128,강남구,영동전통시장,커피-음료,79474199.5,58.43115831991909
129,강남구,영동전통시장,호프-간이주점,420796926.0083333,-81.70091402560953
130,강남구,영동전통시장,분식전문점,131050178.68392858,52.63455322289968
131,강남구,영동전통시장,치킨전문점,77794505.5,-20.84008308701614
132,강남구,영동전통시장,패스트푸드점,115829676.0,-61.28283509429253
133,강남구,영동전통시장,양식음식점,281884902.64285713,-99.10332281853263
134,강남구,영동전통시장,일식음식점,621301186.9333333,-11.215880155060162
135,강남구,영동전통시장,중식음식점,156126919.33333334,-50.62064016301883
136,강남구,영동전통시장,한식음식점,452368234.857437,-39.319864768891634
137,강남구,강남시장_강남,가구,0.0,0.0
138,강남구,강남시장_강남,화초,185866716.0,-33.68493662953618
139,강남구,강남시장_강남,문구,133490689.0,-34.51665681342014
140,강남구,강남시장_강남,반찬가게,106089853.66666666,36.82673490098537
141,강남구,강남시장_강남,수산물판매,156318011.0,43.27242239539498
142,강남구,강남시장_강남,육류판매,78912480.0,-11.149483579783578
143,강남구,강남시장_강남,슈퍼마켓,484500000.0,133.29014846983557
144,강남구,강남시장_강남,미용실,60420232.0,-30.64053113864243
145,강남구,강남시장_강남,호프-간이주점,404858595.5,-86.60663856400697
146,강남구,강남시장_강남,패스트푸드점,410100553.0,-44.17076072560185
147,강남구,강남시장_강남,양식음식점,58177650.0,-0.8294662984840357
148,강남구,강남시장_강남,일식음식점,180197646.66666666,-31.79801312240592
149,강남구,강남시장_강남,중식음식점,212464305.0,-37.6594228381092
150,강남구,강남시장_강남,한식음식점,373835145.2190476,-38.740976008070724
151,강남구,강남시장_강남,화장품,96335502.0,-80.89146096939423
152,강남구,강남시장_강남,제과점,4474508.666666667,-83.85789247921895
153,강남구,압구정 로데오거리_2,전자상거래업,93217252.75278701,115.8248572646014
154,강남구,압구정 로데오거리_2,철물점,92531656.0,55.271622214708174
155,강남구,압구정 로데오거리_2,애완동물,66614389.58333333,-15.965108264427457
156,강남구,압구정 로데오거리_2,화초,23820180.326109078,117.98438037973762
157,강남구,압구정 로데오거리_2,섬유제품,49906786.666666664,-38.5262405193255
158,강남구,압구정 로데오거리_2,완구,140446212.1,76.69475912242612
159,강남구,압구정 로데오거리_2,운동/경기용품,371379074.507177,-66.83835980722493
160,강남구,압구정 로데오거리_2,화장품,405308686.83412695,-18.983687144026916
161,강남구,압구정 로데오거리_2,문구,189137261.00000003,-27.86340163119243
162,강남구,압구정 로데오거리_2,서적,67716500.58333333,-33.98197560432854
163,강남구,압구정 로데오거리_2,의약품,553417729.3125,7.980253191951576
164,강남구,압구정 로데오거리_2,시계및귀금속,156562163.39899185,72.93733296370857
165,강남구,압구정 로데오거리_2,안경,481786623.5552116,24.508154994730162
166,강남구,압구정 로데오거리_2,가방,87389150.70263976,6.822222053938162
167,강남구,압구정 로데오거리_2,신발,209270061.375,-6.531754056847561
168,강남구,압구정 로데오거리_2,일반의류,287414687.56410253,-16.648055392190557
169,강남구,압구정 로데오거리_2,육류판매,76262404.66666667,173.96072039984568
170,강남구,압구정 로데오거리_2,미곡판매,125013671.5,-17.013908754771677
171,강남구,압구정 로데오거리_2,컴퓨터및주변장치판매,129875766.5,288.68198750835086
172,강남구,압구정 로데오거리_2,편의점,297868786.2458493,10.278270389174324
173,강남구,압구정 로데오거리_2,슈퍼마켓,308494768.6481567,-31.5889071453295
174,강남구,압구정 로데오거리_2,노래방,71487148.90151516,-66.95549410090138
175,강남구,압구정 로데오거리_2,여관,305104612.56666666,-23.50378081009754
176,강남구,압구정 로데오거리_2,세탁소,126871299.0,-8.669987090180612
177,강남구,압구정 로데오거리_2,피부관리실,86431422.54736648,-2.8704239350664693
178,강남구,압구정 로데오거리_2,네일숍,123334466.5,-53.65280506439904
179,강남구,압구정 로데오거리_2,미용실,137791004.125,-8.51678309874832
180,강남구,압구정 로데오거리_2,자동차미용,287345444.25,14.477010800911643
181,강남구,압구정 로데오거리_2,스포츠클럽,198232292.78823528,-24.337191623182974
182,강남구,압구정 로데오거리_2,PC방,196489375.5,-33.21560152243448
183,강남구,압구정 로데오거리_2,골프연습장,70887832.76666667,118.09864708693655
184,강남구,압구정 로데오거리_2,당구장,58092279.66666667,-54.03508107580492
185,강남구,압구정 로데오거리_2,한의원,353278624.3846154,-26.413558008826712
186,강남구,압구정 로데오거리_2,치과의원,352293994.1666667,-11.289457362303978
187,강남구,압구정 로데오거리_2,일반의원,982752378.3614163,11.906646234493621
188,강남구,압구정 로데오거리_2,스포츠 강습,122178848.6275641,92.4510744899732
189,강남구,압구정 로데오거리_2,예술학원,243502588.27083334,-19.089851387531354
190,강남구,압구정 로데오거리_2,외국어학원,181896317.65454546,23.48954854439465
191,강남구,압구정 로데오거리_2,일반교습학원,240153406.0,67.31147884143132
192,강남구,압구정 로데오거리_2,커피-음료,242258358.26477718,-22.016516742024265
193,강남구,압구정 로데오거리_2,호프-간이주점,420210076.3987535,-36.856366578222854
194,강남구,압구정 로데오거리_2,분식전문점,171194072.9627824,-30.523899887996052
195,강남구,압구정 로데오거리_2,치킨전문점,145798866.81944445,-71.59730970872927
196,강남구,압구정 로데오거리_2,패스트푸드점,130877917.34761903,-65.02764343583975
197,강남구,압구정 로데오거리_2,제과점,180010004.013834,-85.50493118353128
198,강남구,압구정 로데오거리_2,양식음식점,412253040.7415079,5.586039750708551
199,강남구,압구정 로데오거리_2,일식음식점,285380227.8586601,2.274466720306492
200,강남구,압구정 로데오거리_2,중식음식점,127757147.55726495,-23.85606468862113
201,강남구,압구정 로데오거리_2,한식음식점,346100333.0169454,-16.744652845535555
202,강남구,압구정 로데오거리_2,가구,227109082.0,-94.39596116950658
203,강남구,압구정 로데오거리_2,핸드폰,0.0,0.0
204,강남구,서울 강남구 압구정역,전자상거래업,15524709.642857142,-44.493554158259265
205,강남구,서울 강남구 압구정역,철물점,136784936.33333334,-1.9599107464097045
206,강남구,서울 강남구 압구정역,가구,189160772.8333333,-68.4903968510166
207,강남구,서울 강남구 압구정역,화초,103006280.46666667,-28.830046459056177
208,강남구,서울 강남구 압구정역,자전거 및 기타운송장비,0.0,0.0
209,강남구,서울 강남구 압구정역,화장품,209606795.5308081,-67.42372212712178
210,강남구,서울 강남구 압구정역,문구,455910333.2,3.762260153133127
211,강남구,서울 강남구 압구정역,의약품,430985413.96,-19.621504447188826
212,강남구,서울 강남구 압구정역,시계및귀금속,308799057.5,-12.3201890561146
213,강남구,서울 강남구 압구정역,안경,279191541.71428573,-52.13640329112059
214,강남구,서울 강남구 압구정역,일반의류,209668076.45090562,14.259516865093346
215,강남구,서울 강남구 압구정역,핸드폰,102951641.00000001,-81.13558837461044
216,강남구,서울 강남구 압구정역,편의점,361610034.16993463,5.52618344121349
217,강남구,서울 강남구 압구정역,슈퍼마켓,287558691.86315787,-64.93457841326689
218,강남구,서울 강남구 압구정역,노래방,62178812.2,-90.10745399861466
219,강남구,서울 강남구 압구정역,세탁소,53596857.2,-38.377698384897094
220,강남구,서울 강남구 압구정역,피부관리실,131874650.51934525,-20.119635076136177
221,강남구,서울 강남구 압구정역,네일숍,17183312.666666668,-86.7939340683591
222,강남구,서울 강남구 압구정역,미용실,81545512.0719697,11.498409709422972
223,강남구,서울 강남구 압구정역,자동차미용,178586411.6666667,40.996659208310206
224,강남구,서울 강남구 압구정역,스포츠클럽,344908781.1111111,-49.38782389590462
225,강남구,서울 강남구 압구정역,PC방,1008205964.5,-25.241308716736924
226,강남구,서울 강남구 압구정역,당구장,16992968.2,-30.590174646475234
227,강남구,서울 강남구 압구정역,한의원,398307685.0,-13.926545341448787
228,강남구,서울 강남구 압구정역,치과의원,307894199.5172414,-2.695400891933758
229,강남구,서울 강남구 압구정역,일반의원,1100092764.4699578,17.721508837648557
230,강남구,서울 강남구 압구정역,스포츠 강습,96415080.1,5.67786989376151
231,강남구,서울 강남구 압구정역,예술학원,185341990.12795702,6.299876195955775
232,강남구,서울 강남구 압구정역,외국어학원,336396320.2124821,-42.788053324892495
233,강남구,서울 강남구 압구정역,일반교습학원,264528553.46837544,62.848590172864704
234,강남구,서울 강남구 압구정역,커피-음료,238638635.03164834,-28.145222833997707
235,강남구,서울 강남구 압구정역,호프-간이주점,241272414.5,-71.90966221371245
236,강남구,서울 강남구 압구정역,분식전문점,179560182.84480864,-25.60220742368294
237,강남구,서울 강남구 압구정역,치킨전문점,197892489.5952381,-49.51939600925418
238,강남구,서울 강남구 압구정역,패스트푸드점,228383174.58333334,-71.1167890817643
239,강남구,서울 강남구 압구정역,제과점,247835129.39090908,-2.6079591374712123
240,강남구,서울 강남구 압구정역,양식음식점,164652011.9328063,-78.28458960182601
241,강남구,서울 강남구 압구정역,일식음식점,534169158.4183006,-28.199573440949877
242,강남구,서울 강남구 압구정역,중식음식점,603154134.3545455,-43.511962256084594
243,강남구,서울 강남구 압구정역,한식음식점,361112796.8412558,-20.87462930466394
244,강남구,서울 강남구 압구정역,신발,37606759.428571425,-4.423225027930243
245,강남구,서울 강남구 압구정역,가전제품수리,17909090.0,-56.006759695774605
246,강남구,서울 강남구 압구정역,완구,970592360.5895936,-47.21634435468622
247,강남구,압구정 로데오거리_1,가구,288855997.2197802,166.8988811816997
248,강남구,압구정 로데오거리_1,화초,186012657.2516234,-0.41759301522833425
249,강남구,압구정 로데오거리_1,운동/경기용품,122919904.7888889,57.02116026813485
250,강남구,압구정 로데오거리_1,화장품,372659134.65193844,-11.885655489254376
251,강남구,압구정 로데오거리_1,의약품,517711232.75,-20.256288818179982
252,강남구,압구정 로데오거리_1,시계및귀금속,308799057.5,-12.3201890561146
253,강남구,압구정 로데오거리_1,가방,251097604.5,-17.912705596028317
254,강남구,압구정 로데오거리_1,신발,84114545.91666667,1.8657747282271515
255,강남구,압구정 로데오거리_1,일반의류,287414687.56410253,-16.648055392190557
256,강남구,압구정 로데오거리_1,핸드폰,46423634.0,157.27693160630213
257,강남구,압구정 로데오거리_1,편의점,975518424.7777777,-6.478270278921059
258,강남구,압구정 로데오거리_1,노래방,185174934.30952382,-58.149849403773075
259,강남구,압구정 로데오거리_1,세탁소,126871299.0,0.15254444978923232
260,강남구,압구정 로데오거리_1,피부관리실,89269595.41847827,18.004289795535385
261,강남구,압구정 로데오거리_1,미용실,137791004.125,-8.51678309874832
262,강남구,압구정 로데오거리_1,자동차수리,501074315.5,22.85536764855391
263,강남구,압구정 로데오거리_1,스포츠클럽,314257296.3333333,-28.845605067220475
264,강남구,압구정 로데오거리_1,한의원,728913304.0048077,-9.968072280421495
265,강남구,압구정 로데오거리_1,치과의원,412868544.3636364,-47.34511566998316
266,강남구,압구정 로데오거리_1,일반의원,554582743.8659681,28.73071227548445
267,강남구,압구정 로데오거리_1,스포츠 강습,259681479.56891027,-4.7550978068371705
268,강남구,압구정 로데오거리_1,예술학원,135225006.3333333,45.69665137192408
269,강남구,압구정 로데오거리_1,커피-음료,306089965.7431677,-38.329367628575625
270,강남구,압구정 로데오거리_1,호프-간이주점,422978380.0984849,-56.61949811035133
271,강남구,압구정 로데오거리_1,분식전문점,57292500.00649351,-72.97352535775008
272,강남구,압구정 로데오거리_1,패스트푸드점,313329462.4,-31.882309322214553
273,강남구,압구정 로데오거리_1,양식음식점,378063408.95891815,15.134564508498258
274,강남구,압구정 로데오거리_1,일식음식점,426997894.20467836,11.312130313993336
275,강남구,압구정 로데오거리_1,중식음식점,739620149.5,-16.9924895515573
