,기준 년코드,기준_분기_코드,상권_구분_코드, 상권_구분_코드_명,상권_코드,상권_코드_명,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드,행정구_명
24,2021,3분기,R,전통시장,1001490,길동복조리시장,967301,443252,524048,169116,106817,129892,147456,150411,263609,262687,191866,110790,113045,163643,125271,136776,133367,137374,132310,138249,143344,145882,212698,448781,11740,11740685,강동구
25,2021,2분기,R,전통시장,1001490,길동복조리시장,841772,385690,456084,136515,94791,115255,131889,133712,229611,226420,164318,95649,99487,146258,109640,117785,117578,118421,116305,117459,125634,128592,212698,448781,11740,11740685,강동구
26,2021,1분기,R,전통시장,1001490,길동복조리시장,862169,395585,466585,142370,96072,117150,131790,137303,237484,228357,170946,99577,102693,148615,111980,121497,119580,119748,120171,121781,127610,131782,212698,448781,11740,11740685,강동구
27,2020,4분기,R,전통시장,1001490,길동복조리시장,873376,396767,476609,144022,94019,114971,136136,142977,241249,238926,172232,97534,100785,148007,115891,123459,121993,121729,122700,122112,128749,132634,212698,448781,11740,11740685,강동구
28,2021,3분기,R,전통시장,1001489,둔촌역전통시장,237679,117587,120093,35710,31033,30994,36526,41144,62276,56008,47028,30567,31938,43989,28149,34004,33150,34210,33448,33987,35536,33345,211974,447590,11740,11740660,강동구
29,2021,2분기,R,전통시장,1001489,둔촌역전통시장,250962,122832,128130,37901,32735,32825,39435,43203,64864,59017,49016,32281,33785,46764,30096,35485,35238,35477,35673,35765,37130,36195,211974,447590,11740,11740660,강동구
30,2021,1분기,R,전통시장,1001489,둔촌역전통시장,253113,123353,129760,38975,31841,34017,39697,42604,65979,57934,49232,33527,35001,47325,30093,35921,35872,35812,35813,35699,37216,36782,211974,447590,11740,11740660,강동구
31,2020,4분기,R,전통시장,1001489,둔촌역전통시장,252938,122996,129942,36836,31794,34053,40459,42263,67533,55715,48165,33912,36025,48883,30239,36162,35784,35928,35770,36348,36822,36124,211974,447590,11740,11740660,강동구
32,2021,3분기,R,전통시장,1001488,성내골목시장,618414,293627,324786,102198,70802,96911,98900,87785,161817,160292,122899,71952,74796,109448,79027,86062,85193,85008,84540,84709,94081,98819,211277,448270,11740,11740650,강동구
33,2021,2분기,R,전통시장,1001488,성내골목시장,608673,289486,319186,98419,69247,95505,99583,88683,157235,160949,120455,68821,72093,107257,79095,83600,83446,84559,83481,83880,93344,96361,211277,448270,11740,11740650,강동구
34,2021,1분기,R,전통시장,1001488,성내골목시장,631492,290330,341161,99247,73906,98846,100341,94166,164985,158900,125330,75099,77637,113336,81190,87588,86904,86537,87672,87583,95344,99863,211277,448270,11740,11740650,강동구
35,2020,4분기,R,전통시장,1001488,성내골목시장,641789,288503,353286,100176,73678,99616,100460,96424,171435,163116,127372,75536,78340,115321,82104,88894,88226,87942,89326,88522,96966,101913,211277,448270,11740,11740650,강동구
36,2021,3분기,R,전통시장,1001487,천호시장,72561,32941,39621,5591,13078,12955,11495,12539,16901,9187,12184,11834,14006,17674,7676,9988,10012,10425,10484,10710,10913,10028,211283,449078,11740,11740610,강동구
37,2021,2분기,R,전통시장,1001487,천호시장,86005,38787,47218,6603,15305,15181,13671,14715,20529,12338,14434,13377,15694,20605,9556,11796,12048,12354,12093,12617,13022,12077,211283,449078,11740,11740610,강동구
38,2021,1분기,R,전통시장,1001487,천호시장,89965,40843,49123,7652,15636,15534,14201,15363,21580,13484,15391,13783,16340,21118,9848,12628,12774,12946,12644,12687,13648,12638,211283,449078,11740,11740610,강동구
39,2020,4분기,R,전통시장,1001487,천호시장,91897,41183,50716,7332,16546,16344,14186,15382,22108,13741,16083,14258,16465,21096,10255,12912,13087,13175,12900,13427,13783,12614,211283,449078,11740,11740610,강동구
40,2021,3분기,R,전통시장,1001486,동서울시장,51153,23756,27397,4998,8126,8984,7930,8066,13050,9853,9454,7256,8155,10525,5911,7102,6969,7121,7516,7508,7709,7231,211326,449183,11740,11740610,강동구
41,2021,2분기,R,전통시장,1001486,동서울시장,64180,29717,34463,5385,9820,11216,9696,10447,17617,13836,11932,8556,9457,12655,7743,8961,9041,9264,9053,9272,9484,9106,211326,449183,11740,11740610,강동구
42,2021,1분기,R,전통시장,1001486,동서울시장,66971,31095,35877,6272,9797,11553,10026,10939,18384,14689,12667,8888,9840,12928,7961,9497,9527,9541,9524,9502,9904,9477,211326,449183,11740,11740610,강동구
43,2020,4분기,R,전통시장,1001486,동서울시장,66313,29932,36381,6265,9898,11419,9704,10656,18370,14610,12637,8880,9694,12572,7919,9401,9457,9506,9416,9541,9673,9319,211326,449183,11740,11740610,강동구
44,2021,3분기,R,전통시장,1001485,고분다리골목시장,117795,57638,60157,17213,15047,17092,16522,18988,32933,31833,23786,13639,13928,19838,14772,16380,16272,16191,16357,16766,17861,17967,211664,449227,11740,11740600,강동구
45,2021,2분기,R,전통시장,1001485,고분다리골목시장,108117,52367,55749,17447,13496,14685,15351,17830,29307,26746,21517,12986,13512,19805,13551,15050,15498,14844,14550,14973,16304,16898,211664,449227,11740,11740600,강동구
