,기준 년코드,기준_분기_코드,상권_구분_코드, 상권_구분_코드_명,상권_코드,상권_코드_명,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,엑스좌표_값,와이좌표_값,시군구_코드,행정동_코드,행정구_명
222,2021,1분기,R,전통시장,1001441,본동인정시장,161469,77670,83799,19175,27169,30797,24596,23651,36078,31967,33633,23685,23958,30790,17437,22004,21590,21793,22237,22248,25438,26160,195635,445813,11590,11590510,동작구
223,2020,4분기,R,전통시장,1001441,본동인정시장,159238,76652,82587,18978,29578,30188,22836,22623,35035,32498,33207,23063,23455,29888,17128,21787,21572,21709,21831,22062,24821,25457,195635,445813,11590,11590510,동작구
224,2021,3분기,R,전통시장,1001440,노량진중앙시장,159073,91149,67923,9375,69275,35368,14780,12274,18002,32227,29534,22751,23650,31671,19240,23065,23179,23649,23565,23495,21956,20166,195108,445854,11590,11590510,동작구
225,2021,2분기,R,전통시장,1001440,노량진중앙시장,163505,94887,68618,9806,69141,37248,15602,12714,18994,33948,30277,23099,24008,32494,19678,23630,23972,24289,23932,24220,22640,20820,195108,445854,11590,11590510,동작구
226,2021,1분기,R,전통시장,1001440,노량진중앙시장,155621,90630,64990,8657,63409,35717,15097,12483,20258,33379,28990,21586,22482,30687,18497,22562,22812,22822,22854,22566,21762,20245,195108,445854,11590,11590510,동작구
227,2020,4분기,R,전통시장,1001440,노량진중앙시장,183646,104174,79471,12406,79430,39888,16287,13609,22026,39752,34437,25398,26317,35545,22197,26723,27538,27337,26585,26803,25403,23258,195108,445854,11590,11590510,동작구
228,2021,3분기,R,전통시장,1001439,대림중앙시장,168320,82939,85380,11012,14433,25121,28288,42339,47126,47491,32222,18531,19169,28579,22328,23667,23491,23193,22440,23297,24849,27383,191100,443494,11560,11560710,영등포구
229,2021,2분기,R,전통시장,1001439,대림중앙시장,137642,67295,70347,9261,13202,21528,23175,32355,38122,39944,26970,14850,14924,22800,18155,19028,18723,18682,18631,19320,20650,22609,191100,443494,11560,11560710,영등포구
230,2021,1분기,R,전통시장,1001439,대림중앙시장,126807,62126,64681,8554,12179,19917,21405,29471,35280,34859,24732,14328,14582,21523,16783,17551,17201,17205,17449,17678,19118,20604,191100,443494,11560,11560710,영등포구
231,2020,4분기,R,전통시장,1001439,대림중앙시장,119571,57849,61723,8322,11649,18656,20643,27633,32669,32652,22945,13479,13907,20534,16056,16488,16098,16002,16614,16685,17992,19694,191100,443494,11560,11560710,영등포구
232,2021,3분기,R,전통시장,1001438,우리시장,334459,157428,177032,38681,38225,56131,48643,55147,97632,102228,69340,34859,34284,50428,43320,47166,46716,45881,47688,48106,48219,50684,191580,444163,11560,11560700,영등포구
233,2021,2분기,R,전통시장,1001438,우리시장,303637,142935,160703,33298,33540,51144,47052,49683,88920,92379,62380,30863,30854,47112,40050,41423,41997,43395,41891,41798,45572,47562,191580,444163,11560,11560700,영등포구
234,2021,1분기,R,전통시장,1001438,우리시장,303452,143852,159600,32441,34979,50736,46251,48388,90658,86560,61635,32692,32680,49313,40573,42155,41499,41424,42352,42665,45860,47498,191580,444163,11560,11560700,영등포구
235,2020,4분기,R,전통시장,1001438,우리시장,228151,106974,121178,22026,25544,35155,34134,38509,72783,64036,45240,24773,25638,38137,30328,30790,29376,30475,33564,34143,34153,35650,191580,444163,11560,11560700,영등포구
236,2021,3분기,R,전통시장,1001437,영진시장A동,59680,26493,33187,9145,7692,10662,9968,9196,13017,15792,11972,6764,6833,10369,7950,8118,8410,8326,8229,8328,9012,9257,192550,444547,11560,11560680,영등포구
237,2021,2분기,R,전통시장,1001437,영진시장A동,67112,30563,36550,11059,8677,11872,10866,10211,14428,17998,13576,7570,7450,11361,9158,9340,9316,9377,9344,9333,10027,10377,192550,444547,11560,11560680,영등포구
238,2021,1분기,R,전통시장,1001437,영진시장A동,69463,32103,37360,11244,9030,12467,11385,10702,14637,18141,14184,7915,7727,11980,9516,9723,9522,9541,9630,9733,10466,10849,192550,444547,11560,11560680,영등포구
239,2020,4분기,R,전통시장,1001437,영진시장A동,71472,33016,38457,11125,9646,12439,11758,11143,15359,18841,14585,8118,7997,12219,9712,9892,9882,9929,9920,10000,10714,11135,192550,444547,11560,11560680,영등포구
240,2021,3분기,R,전통시장,1001436,사러가시장,92705,42353,50352,11505,12114,14551,15068,15916,23550,17473,18263,12302,13901,19063,11702,13255,13131,13167,12718,12797,13950,13687,192020,445204,11560,11560650,영등포구
241,2021,2분기,R,전통시장,1001436,사러가시장,89316,41493,47823,11726,11214,13488,14966,15088,22836,17374,17356,11749,13191,18363,11283,12670,12356,12509,12430,12419,13502,13431,192020,445204,11560,11560650,영등포구
242,2021,1분기,R,전통시장,1001436,사러가시장,96738,45394,51345,12715,11724,14923,16758,16664,23954,18399,18632,12989,14493,20065,12158,13745,13495,13451,13546,13548,14457,14497,192020,445204,11560,11560650,영등포구
243,2020,4분기,R,전통시장,1001436,사러가시장,95418,44344,51074,12239,11843,14407,16233,16897,23802,18290,18589,12862,14309,19522,11846,13390,13321,13170,13383,13414,14354,14388,192020,445204,11560,11560650,영등포구
244,2021,3분기,R,전통시장,1001435,대신시장,121551,57191,64361,14987,15986,18891,19532,19583,32572,25276,22825,16637,17724,24371,14718,17770,17091,16558,17175,17155,17904,17899,192714,445736,11560,11560630,영등포구
245,2021,2분기,R,전통시장,1001435,대신시장,103913,48145,55768,14578,12721,15706,17034,16054,27821,19818,19080,15431,16033,21393,12159,15024,14888,14616,14930,14998,15052,14404,192714,445736,11560,11560630,영등포구
246,2021,1분기,R,전통시장,1001435,대신시장,104649,49155,55494,13551,13346,16341,16137,16525,28749,20646,19205,14693,16025,21663,12417,14983,14857,14780,14930,14828,15313,14956,192714,445736,11560,11560630,영등포구
247,2020,4분기,R,전통시장,1001435,대신시장,106998,49587,57412,14361,13417,15745,17029,16739,29704,21266,19666,15456,16416,21682,12511,15367,15247,14887,15139,15146,15521,15691,192714,445736,11560,11560630,영등포구
248,2021,3분기,R,전통시장,1001434,양남시장,23270,11817,11452,1831,3811,5153,4634,3509,4332,3930,5012,3977,3942,4142,2268,3463,3519,3530,3636,3515,2869,2737,190382,447047,11560,11560610,영등포구
249,2021,2분기,R,전통시장,1001434,양남시장,29310,14687,14624,2230,4801,6774,6079,4428,4999,4125,6175,5478,5541,5490,2503,4544,4560,4470,4543,4548,3521,3124,190382,447047,11560,11560610,영등포구
250,2021,1분기,R,전통시장,1001434,양남시장,29688,14795,14893,2440,4784,6867,5948,4514,5135,4187,6260,5566,5637,5547,2489,4579,4645,4633,4542,4408,3643,3238,190382,447047,11560,11560610,영등포구
251,2020,4분기,R,전통시장,1001434,양남시장,29262,14394,14869,2319,4666,6732,5780,4447,5318,4117,6104,5496,5623,5492,2432,4629,4581,4588,4459,4325,3528,3153,190382,447047,11560,11560610,영등포구
252,2021,3분기,R,전통시장,1001433,영일시장,288790,130681,158108,24692,62775,68333,51849,40257,40884,28776,50566,58894,66803,64327,19422,40203,40374,41500,42329,42756,42975,38654,191256,446439,11560,11560605,영등포구
253,2021,2분기,R,전통시장,1001433,영일시장,335885,152875,183011,26281,70239,79432,61192,48228,50513,37065,60232,66962,73776,73023,24828,47534,48231,49220,48662,49910,49410,42920,191256,446439,11560,11560605,영등포구
254,2021,1분기,R,전통시장,1001433,영일시장,332161,152352,179809,27380,70958,76848,60334,46782,49859,36286,58675,66580,75265,72002,23354,47689,48257,48839,47881,47782,48859,42855,191256,446439,11560,11560605,영등포구
255,2020,4분기,R,전통시장,1001433,영일시장,339246,155765,183480,25844,73535,78548,61586,47699,52032,39074,60903,66157,74519,73322,25268,48453,49390,49651,49323,50700,48961,42766,191256,446439,11560,11560605,영등포구
256,2021,3분기,R,전통시장,1001432,도림시장,22509,11204,11305,2220,3357,4479,3671,3697,5086,6731,4442,2302,2238,3522,3273,3179,3153,3194,3167,3129,3257,3430,191023,445601,11560,11560585,영등포구
257,2021,2분기,R,전통시장,1001432,도림시장,21290,10608,10682,2229,3210,3966,3450,3499,4936,6352,4269,2174,2106,3348,3043,2983,2966,3003,2953,2951,3106,3327,191023,445601,11560,11560585,영등포구
258,2021,1분기,R,전통시장,1001432,도림시장,22299,11045,11254,2186,3338,4128,3819,3607,5222,6600,4620,2316,2217,3477,3070,3135,3112,3116,3117,3103,3248,3468,191023,445601,11560,11560585,영등포구
259,2020,4분기,R,전통시장,1001432,도림시장,22826,11236,11591,2342,3338,4296,3838,3685,5328,6690,4671,2365,2291,3628,3182,3207,3170,3228,3192,3157,3299,3574,191023,445601,11560,11560585,영등포구
260,2021,3분기,R,전통시장,1001431,영등포청과시장,201383,98848,102535,25867,27651,37942,32850,30986,46088,60950,43500,22386,20991,27457,26100,29572,29109,29064,29434,29536,28060,26608,191226,446889,11560,11560550,영등포구
261,2021,2분기,R,전통시장,1001431,영등포청과시장,143834,70389,73444,17428,20788,27776,22968,21400,33475,40587,30900,16915,16150,21006,18276,20481,20518,20471,20484,20551,20867,20460,191226,446889,11560,11560550,영등포구
262,2021,1분기,R,전통시장,1001431,영등포청과시장,149391,73034,76358,19281,21441,28658,24117,21852,34041,41892,32641,17663,16734,21785,18678,21348,21371,21235,21152,20963,21644,21677,191226,446889,11560,11560550,영등포구
263,2020,4분기,R,전통시장,1001431,영등포청과시장,140884,68912,71972,17549,20259,26581,23029,20556,32910,38991,30391,16881,16246,21009,17366,20157,20135,20201,19957,19768,20253,20415,191226,446889,11560,11560550,영등포구
264,2021,3분기,R,전통시장,1001430,영등포전통시장,1006233,522673,483559,50543,250660,222286,147956,149288,185500,167344,192671,163437,176495,206310,99977,140134,138610,144714,146019,150158,150281,136316,191635,446406,11560,11560535,영등포구
265,2021,2분기,R,전통시장,1001430,영등포전통시장,1062581,558949,503632,50374,271055,227258,151765,164547,197582,190422,196852,164259,178072,222178,110799,145314,148719,150071,149761,155763,164645,148308,191635,446406,11560,11560535,영등포구
266,2021,1분기,R,전통시장,1001430,영등포전통시장,1038599,551494,487105,51437,258386,222349,149599,162883,193946,182700,193262,162342,179694,216565,104037,144670,147022,148321,145909,147328,160069,145281,191635,446406,11560,11560535,영등포구
267,2020,4분기,R,전통시장,1001430,영등포전통시장,1064795,563826,500969,47517,262170,222585,159219,169700,203607,189835,194001,164424,181896,218553,116087,145853,148983,150487,150147,158414,165475,145435,191635,446406,11560,11560535,영등포구
268,2021,3분기,R,전통시장,1001429,은행나무시장,161282,74404,86879,22971,18614,20541,24120,26366,48668,29172,30957,22376,26023,34111,18644,22432,21858,21784,20797,22885,25545,25979,191997,439104,11545,11545710,금천구
269,2021,2분기,R,전통시장,1001429,은행나무시장,131039,60936,70104,18590,14910,16709,19885,21624,39322,22605,24830,18602,21557,28063,15380,18091,18215,18420,18071,18185,20030,20027,191997,439104,11545,11545710,금천구
270,2021,1분기,R,전통시장,1001429,은행나무시장,136616,63756,72859,19663,15326,18125,20571,22474,40457,23068,26315,19817,22733,29024,15660,19010,18763,18918,19129,19040,20895,20862,191997,439104,11545,11545710,금천구
271,2020,4분기,R,전통시장,1001429,은행나무시장,138409,64455,73955,19663,15126,18952,20760,22837,41071,23726,26715,19925,22891,29225,15928,19359,19094,19287,19429,19190,20887,21163,191997,439104,11545,11545710,금천구
272,2021,3분기,R,전통시장,1001428,박미시장,16597,8842,7756,2059,1904,2832,2866,3035,3899,3972,3636,2081,2022,2747,2137,2481,2289,2316,2431,2568,2084,2429,191603,437870,11545,11545690,금천구
273,2021,2분기,R,전통시장,1001428,박미시장,20762,10941,9821,2772,2360,3570,3474,3600,4986,4966,4454,2709,2680,3448,2505,3018,3035,2906,3042,2997,2887,2877,191603,437870,11545,11545690,금천구
274,2021,1분기,R,전통시장,1001428,박미시장,20729,10875,9854,2527,2360,3575,3532,3566,5169,5021,4372,2657,2677,3503,2500,2969,2990,2997,2985,3012,2897,2877,191603,437870,11545,11545690,금천구
275,2020,4분기,R,전통시장,1001428,박미시장,22509,11602,10906,3263,2427,3698,3764,3733,5623,5572,4893,2859,2866,3698,2623,3235,3240,3239,3269,3176,3159,3191,191603,437870,11545,11545690,금천구
276,2021,3분기,R,전통시장,1001427,현대시장,533466,248088,285378,53622,70207,76595,81715,94657,156671,138082,102318,61690,62649,94999,73729,73171,78483,74026,76634,76893,78788,75473,191405,439748,11545,11545670,금천구
277,2021,2분기,R,전통시장,1001427,현대시장,584730,273815,310913,60423,76173,82236,89021,104698,172178,165565,111286,62631,63615,97338,84295,82287,81663,81806,81579,82492,87783,87122,191405,439748,11545,11545670,금천구
278,2021,1분기,R,전통시장,1001427,현대시장,622675,290902,331773,63912,80020,88037,94959,110430,185316,181124,121200,65765,67058,100130,87397,87404,87333,87294,87291,87826,92152,93375,191405,439748,11545,11545670,금천구
279,2020,4분기,R,전통시장,1001427,현대시장,618654,289320,329334,65128,78334,89391,95395,108414,181993,186209,116727,63505,65486,98882,87846,86910,86087,85341,87136,86812,92169,94200,191405,439748,11545,11545670,금천구
280,2021,3분기,R,전통시장,1001426,대명시장,25041,11959,13083,2713,3544,3584,3978,4430,6793,3442,4253,3885,4546,6038,2876,3596,3588,3576,3641,3700,3713,3227,191352,439419,11545,11545670,금천구
281,2021,2분기,R,전통시장,1001426,대명시장,22681,10911,11771,2571,3191,3128,3405,4043,6343,2546,3548,3585,4400,5939,2666,3210,3205,3238,3229,3321,3442,3036,191352,439419,11545,11545670,금천구
282,2021,1분기,R,전통시장,1001426,대명시장,23823,11440,12382,2650,3397,3368,3635,4233,6539,3014,3827,3720,4569,5996,2699,3385,3377,3429,3388,3433,3607,3204,191352,439419,11545,11545670,금천구
283,2020,4분기,R,전통시장,1001426,대명시장,27151,13037,14114,2710,3781,4025,4259,4829,7547,3550,4456,4216,5033,6656,3240,3867,3885,3884,3890,3956,4065,3606,191352,439419,11545,11545670,금천구
284,2021,3분기,R,전통시장,1001425,푸른터시장,78233,38506,39727,7598,12347,16269,13430,13390,15199,27136,16151,6818,6359,10145,11623,11309,11305,11161,11239,11430,11015,10776,191280,442074,11545,11545630,금천구
285,2021,2분기,R,전통시장,1001425,푸른터시장,68953,33873,35080,6749,10761,14379,11485,11936,13645,24939,14333,5573,5136,8511,10460,9843,9860,9897,9743,9907,9754,9949,191280,442074,11545,11545630,금천구
286,2021,1분기,R,전통시장,1001425,푸른터시장,74002,35845,38157,7284,11519,15491,11885,12946,14877,26096,15620,6321,5724,9218,11023,10613,10590,10707,10646,10548,10351,10546,191280,442074,11545,11545630,금천구
287,2020,4분기,R,전통시장,1001425,푸른터시장,57862,28147,29714,5099,8775,12083,9064,10523,12317,20824,12186,4838,4386,7018,8609,8178,8382,8290,8311,8330,8155,8214,191280,442074,11545,11545630,금천구
288,2021,3분기,R,전통시장,1001424,남문시장,154513,75411,79103,13840,19217,25296,25400,30604,40157,38154,30360,19434,20006,27034,19525,21445,22989,20765,21476,22214,20999,24627,191252,441586,11545,11545630,금천구
289,2021,2분기,R,전통시장,1001424,남문시장,263588,129501,134086,20113,36061,45001,41435,52501,68476,61191,51387,32450,33610,48992,35958,37602,37299,37413,37062,37774,37794,38646,191252,441586,11545,11545630,금천구
290,2021,1분기,R,전통시장,1001424,남문시장,276444,137178,139266,22597,37565,47339,43572,53667,71706,63726,54277,34253,35707,51429,37054,39038,39015,39252,39165,39227,40244,40502,191252,441586,11545,11545630,금천구
291,2020,4분기,R,전통시장,1001424,남문시장,274075,135568,138508,20856,37331,46351,44006,52762,72769,64951,53471,33180,34585,50838,37051,38401,38407,38646,38797,38917,40076,40833,191252,441586,11545,11545630,금천구
292,2021,3분기,R,전통시장,1001423,독산동 우시장,125915,66410,59506,10058,22199,27249,21055,21606,23750,24163,26293,18500,18950,23156,14852,18522,18585,18427,19102,18726,16907,15646,190850,440835,11545,11545610,금천구
293,2021,2분기,R,전통시장,1001423,독산동 우시장,120336,62711,57625,11443,20608,25404,20485,20844,21552,22719,25363,18257,18349,21916,13731,18044,17993,17594,17966,17957,15845,14938,190850,440835,11545,11545610,금천구
294,2021,1분기,R,전통시장,1001423,독산동 우시장,124533,65191,59343,11575,20910,26415,21095,21292,23246,24826,25900,18153,18752,22597,14309,18432,18625,18622,18356,18032,16632,15835,190850,440835,11545,11545610,금천구
295,2020,4분기,R,전통시장,1001423,독산동 우시장,128393,66433,61960,12641,21351,27037,21795,22010,23559,26293,26545,18499,18989,23089,14978,19270,19186,19264,18774,18378,17066,16456,190850,440835,11545,11545610,금천구
296,2021,3분기,R,전통시장,1001422,오류시장,43215,21534,21682,4309,8717,9041,5962,6325,8861,7374,7532,5632,6229,9995,6454,6014,5685,5972,5725,6000,6901,6917,186135,444133,11530,11530770,구로구
297,2021,2분기,R,전통시장,1001422,오류시장,57185,28240,28945,6158,12371,11509,7612,8074,11462,12476,9845,6430,7149,12099,9187,7795,7611,7913,7598,7921,9123,9226,186135,444133,11530,11530770,구로구
298,2021,1분기,R,전통시장,1001422,오류시장,57577,28827,28750,5553,12823,11750,7892,8057,11500,13635,10187,6290,6883,11592,8988,7985,7938,7910,7948,7840,8878,9080,186135,444133,11530,11530770,구로구
299,2020,4분기,R,전통시장,1001422,오류시장,62763,31191,31572,5726,13617,12548,8980,8674,13216,15521,11204,6612,7195,12312,9919,8618,8613,8555,8523,8568,9689,10196,186135,444133,11530,11530770,구로구
300,2021,3분기,R,전통시장,1001421,개봉중앙시장,55009,24571,30439,9567,7134,7876,8182,8576,13675,15554,10825,5912,6208,9342,7168,7468,7450,7417,7304,7407,8670,9296,187073,443659,11530,11530750,구로구
301,2021,2분기,R,전통시장,1001421,개봉중앙시장,54225,24625,29600,9412,7182,7584,8149,8617,13279,15745,10703,5537,5868,9211,7159,7261,7235,7268,7262,7275,8677,9247,187073,443659,11530,11530750,구로구
302,2021,1분기,R,전통시장,1001421,개봉중앙시장,59468,26350,33117,10475,7963,8206,8852,9674,14297,16658,11861,6496,6753,10029,7672,8108,7980,7870,8010,8093,9377,10030,187073,443659,11530,11530750,구로구
303,2020,4분기,R,전통시장,1001421,개봉중앙시장,52175,23134,29040,8558,6423,7601,7821,8132,13640,13808,10022,5813,6251,9476,6804,6994,6800,6962,7056,7009,8195,9159,187073,443659,11530,11530750,구로구
304,2021,3분기,R,전통시장,1001420,고척근린시장,63480,30764,32717,9367,6867,7859,9323,10702,19362,13894,12659,8077,8862,12274,7713,8235,8394,8608,9057,8083,8642,12463,186779,444767,11530,11530730,구로구
305,2021,2분기,R,전통시장,1001420,고척근린시장,160041,76965,83076,24110,17175,19016,23470,27687,48583,31484,31702,21074,24471,32342,18969,22195,22139,22331,22017,22209,24588,24561,186779,444767,11530,11530730,구로구
306,2021,1분기,R,전통시장,1001420,고척근린시장,161994,78333,83660,23422,17797,18836,24663,28255,49019,30421,31755,21790,25645,33145,19238,22734,22255,22314,22596,22655,24734,24703,186779,444767,11530,11530730,구로구
307,2020,4분기,R,전통시장,1001420,고척근린시장,156155,75016,81137,22181,17740,18370,23881,27259,46725,29475,30403,20964,24729,31967,18616,21771,21408,21781,22035,21697,23908,23556,186779,444767,11530,11530730,구로구
308,2021,3분기,R,전통시장,1001419,가리봉시장,82174,48183,33990,1765,14289,15911,15190,18551,16467,20354,15407,10040,10674,15027,10673,11402,11655,11412,11316,11686,11280,13422,190213,442465,11530,11530595,구로구
309,2021,2분기,R,전통시장,1001419,가리봉시장,160177,91246,68931,3612,29563,32255,29806,33429,31511,36124,30824,21424,22618,30214,18973,22831,22400,22587,22712,22841,22496,24310,190213,442465,11530,11530595,구로구
310,2021,1분기,R,전통시장,1001419,가리봉시장,151338,86522,64815,3655,27987,30648,29274,29811,29963,33522,28496,20527,21758,28848,18188,21608,21411,21645,21502,21258,21399,22515,190213,442465,11530,11530595,구로구
311,2020,4분기,R,전통시장,1001419,가리봉시장,148388,83993,64396,4688,26390,29846,29874,28464,29124,32815,28035,20155,21364,28329,17687,21159,21010,21210,20971,20828,20911,22300,190213,442465,11530,11530595,구로구
312,2021,3분기,R,전통시장,1001418,남구로시장,562236,273301,288936,45714,52027,75641,94816,111334,182705,115846,104254,76210,82617,112157,71153,81564,79660,79853,79942,79094,80098,82025,189947,443413,11530,11530550,구로구
313,2021,2분기,R,전통시장,1001418,남구로시장,541177,259624,281553,38160,50127,71195,94144,107250,180300,107397,99669,74180,81459,110278,68195,77532,76385,75848,75734,76439,78710,80528,189947,443413,11530,11530550,구로구
314,2021,1분기,R,전통시장,1001418,남구로시장,533212,257527,275684,39900,49438,73185,95080,102121,173488,106791,99570,73677,80703,106607,65863,75482,75328,75677,76297,75078,76052,79296,189947,443413,11530,11530550,구로구
315,2020,4분기,R,전통시장,1001418,남구로시장,523878,254731,269147,37581,49937,74588,93107,101940,166725,105277,97051,72256,79366,105138,64792,74522,74225,74268,75057,73011,74403,78394,189947,443413,11530,11530550,구로구
316,2021,3분기,R,전통시장,1001417,구로시장,79646,40336,39310,6029,9785,14014,14247,14128,21443,9325,13559,14217,16824,18782,6938,11578,11127,10973,10908,10438,12210,12414,189861,443289,11530,11530550,구로구
317,2021,2분기,R,전통시장,1001417,구로시장,59806,30949,28857,4659,8091,10579,10587,10238,15653,10205,12051,9614,10114,11441,6382,9002,8955,8691,8926,8777,7780,7675,189861,443289,11530,11530550,구로구
318,2021,1분기,R,전통시장,1001417,구로시장,68542,35133,33408,6966,8834,11963,12657,11294,16827,12495,14138,10721,11106,12872,7211,10118,10046,9986,10133,9793,9295,9172,189861,443289,11530,11530550,구로구
319,2020,4분기,R,전통시장,1001417,구로시장,68045,34812,33234,7339,9028,11756,12259,11480,16184,12826,13753,10547,10893,12757,7267,10136,10136,10187,9990,9717,8954,8925,189861,443289,11530,11530550,구로구
320,2021,3분기,R,전통시장,1001416,공항시장,59859,30807,29052,4288,12848,12011,9174,9004,12535,11084,13294,9099,8444,11118,6821,8471,8371,8662,8443,8771,8737,8406,183061,451453,11500,11500640,강서구
321,2021,2분기,R,전통시장,1001416,공항시장,57350,29539,27811,4185,12076,11590,8719,8820,11962,12003,12438,8285,7694,10159,6773,8309,8209,8406,8383,8497,7939,7608,183061,451453,11500,11500640,강서구
322,2021,1분기,R,전통시장,1001416,공항시장,59156,30923,28232,4755,12595,12299,8800,8608,12100,12941,12430,8269,7882,10527,7105,8620,8627,8673,8593,8651,8109,7884,183061,451453,11500,11500640,강서구
323,2020,4분기,R,전통시장,1001416,공항시장,57874,30131,27743,4449,12588,12198,8557,8341,11739,12795,12237,8145,7645,10169,6885,8453,8358,8522,8363,8531,8009,7639,183061,451453,11500,11500640,강서구
324,2021,3분기,R,전통시장,1001415,방신전통시장,158440,76615,81824,24315,16001,26819,21299,25694,44313,31774,29749,21584,22938,32847,19548,22035,21867,21403,22387,21388,24120,25241,183436,452447,11500,11500630,강서구
325,2021,2분기,R,전통시장,1001415,방신전통시장,237511,113992,123521,35159,24230,38490,33420,38580,67634,51160,44146,30562,32839,47764,31041,32907,33126,33347,32883,33283,35840,36125,183436,452447,11500,11500630,강서구
326,2021,1분기,R,전통시장,1001415,방신전통시장,247023,117725,129298,36561,25731,39538,34659,40209,70324,52054,45854,32424,35055,49916,31719,34422,34340,34479,34333,34688,37448,37312,183436,452447,11500,11500630,강서구
327,2020,4분기,R,전통시장,1001415,방신전통시장,298881,141962,156919,47332,30174,46300,42832,46660,85583,58649,54834,41581,45625,62089,36103,41065,40829,41041,41222,42201,46269,46253,183436,452447,11500,11500630,강서구
328,2021,3분기,R,전통시장,1001414,송화골목시장,106504,45255,61249,28384,11463,12900,17944,13307,22507,16441,19375,16848,18193,23989,11657,15638,15297,14624,15901,14738,15569,14738,185468,449994,11500,11500611,강서구
329,2021,2분기,R,전통시장,1001414,송화골목시장,199069,84226,114843,56517,20135,22480,33951,24485,41501,31629,37359,30692,33328,43861,22200,28988,28942,28278,29270,29333,28316,25944,185468,449994,11500,11500611,강서구
330,2021,1분기,R,전통시장,1001414,송화골목시장,194663,82406,112257,52211,19983,22906,34738,24523,40303,32024,35991,29848,32434,42617,21746,27755,28334,28068,28522,28019,28078,25887,185468,449994,11500,11500611,강서구
331,2020,4분기,R,전통시장,1001414,송화골목시장,193424,81540,111884,52648,19249,22480,34588,24370,40089,31665,36356,29705,32224,41921,21552,28044,28354,27921,28132,28009,27328,25636,185468,449994,11500,11500611,강서구
332,2021,3분기,R,전통시장,1001413,까치산시장,1106447,508002,598444,102208,184186,206647,174191,158341,280875,203631,220130,136926,148594,235702,161462,158517,157920,158392,159726,159575,158819,153498,186493,448134,11500,11500593,강서구
333,2021,2분기,R,전통시장,1001413,까치산시장,1046592,475553,571038,107715,171218,193806,164506,147565,261783,184214,202541,127443,142447,235096,154851,151534,150921,146919,148500,148938,151952,147829,186493,448134,11500,11500593,강서구
334,2021,1분기,R,전통시장,1001413,까치산시장,1200228,555151,645077,132626,198337,226782,188600,168228,285655,226426,237377,147728,162166,256290,170240,171020,171146,172604,173186,171301,172494,168476,186493,448134,11500,11500593,강서구
335,2020,4분기,R,전통시장,1001413,까치산시장,1007060,461657,545404,101046,164953,188508,151589,145983,254982,182985,201621,122267,135302,219518,145367,144841,143781,143309,142812,142816,145878,143623,186493,448134,11500,11500593,강서구
336,2021,3분기,R,전통시장,1001412,화곡본동시장,138995,63633,75362,21192,20054,24583,22048,17978,33140,31752,26213,16355,18185,27033,19455,19419,19113,19490,19758,20035,20580,20601,186203,449328,11500,11500590,강서구
337,2021,2분기,R,전통시장,1001412,화곡본동시장,164468,74868,89600,24687,23273,29374,26006,21645,39483,37295,32194,19777,21124,31461,22617,23426,23430,23397,23351,23310,23964,23591,186203,449328,11500,11500590,강서구
338,2021,1분기,R,전통시장,1001412,화곡본동시장,172093,78912,93182,25846,24459,30255,26978,23303,41252,38896,33886,20992,22415,32560,23344,24518,24523,24362,24272,24416,25121,24883,186203,449328,11500,11500590,강서구
339,2020,4분기,R,전통시장,1001412,화곡본동시장,176985,82143,94841,28000,25144,31215,27641,23166,41820,39892,35282,21646,22961,33353,23853,25147,25044,24899,24969,25007,25897,26019,186203,449328,11500,11500590,강서구
340,2021,3분기,R,전통시장,1001411,남부골목시장,516375,231645,284729,67487,61389,80473,81867,78914,146242,121670,94845,60874,67062,100377,71544,72760,71856,72339,71396,72985,77705,77335,187642,448174,11500,11500570,강서구
341,2021,2분기,R,전통시장,1001411,남부골목시장,406436,181824,224612,53582,46210,62247,63587,62853,117957,94739,73858,47548,53353,80576,56362,56804,56534,56972,56128,57033,61512,61452,187642,448174,11500,11500570,강서구
342,2021,1분기,R,전통시장,1001411,남부골목시장,414964,189615,225349,57344,47574,65459,65210,63391,115986,92953,76262,50240,55998,82938,56572,58401,57415,57302,58391,57810,62788,62857,187642,448174,11500,11500570,강서구
343,2020,4분기,R,전통시장,1001411,남부골목시장,433347,195053,238295,58380,49327,70216,66553,66596,122275,96381,80168,52956,59248,86507,58087,60937,60054,60049,60343,60948,64682,66335,187642,448174,11500,11500570,강서구
344,2021,3분기,R,전통시장,1001410,대원종합시장,53388,24501,28887,8401,6418,8071,8314,8107,14077,8692,9189,7172,8965,12244,7125,7577,7425,7738,7625,7681,8012,7328,185547,449458,11500,11500560,강서구
345,2021,2분기,R,전통시장,1001410,대원종합시장,42982,19780,23202,6870,5152,6377,6567,6498,11517,6386,7476,5965,7392,10199,5564,6088,6007,6082,5993,6007,6460,6343,185547,449458,11500,11500560,강서구
