,기준_년_코드,기준_분기_코드,서비스_업종_코드_명,상권_코드_명,분기당_매출_금액,점포수,시군구_명,매출/점포수
572,2021,3,스포츠클럽,잠실 관광특구,516369008.0,7,송파구,269862059.78571427
573,2021,3,골프연습장,잠실 관광특구,797729875.0,7,송파구,391600934.28571427
574,2021,3,당구장,잠실 관광특구,62715160.0,15,송파구,16418739.616666667
575,2021,3,한의원,잠실 관광특구,279173393.0,7,송파구,207114497.60714287
576,2021,3,치과의원,잠실 관광특구,1475941795.0,10,송파구,607295701.0363636
577,2021,3,일반의원,잠실 관광특구,2335831683.0,23,송파구,387862307.83003956
578,2021,3,스포츠 강습,잠실 관광특구,113370479.0,33,송파구,17379855.506320346
579,2021,3,커피-음료,잠실 관광특구,6119531130.0,94,송파구,262414196.87104744
580,2021,3,호프-간이주점,잠실 관광특구,3009513163.0,55,송파구,265335910.2425986
581,2021,3,분식전문점,잠실 관광특구,5740814620.0,88,송파구,280758197.32196426
582,2021,3,치킨전문점,잠실 관광특구,355565348.0,12,송파구,138392153.9848485
583,2021,3,패스트푸드점,잠실 관광특구,1825757121.0,42,송파구,169425646.11544904
584,2021,3,제과점,잠실 관광특구,1926958530.0,37,송파구,228192062.74867785
585,2021,3,양식음식점,잠실 관광특구,3051685655.0,70,송파구,186337152.04789916
586,2021,3,일식음식점,잠실 관광특구,1242619202.0,41,송파구,144636676.90823302
587,2021,3,중식음식점,잠실 관광특구,735937407.0,22,송파구,140892947.65800866
588,2021,3,한식음식점,잠실 관광특구,17511150816.0,261,송파구,298258169.02202034
615,2021,2,PC방,잠실 관광특구,15238812.0,5,송파구,62252213.9
1250,2021,3,전자상거래업,종로?청계 관광특구,2986245460.0,173,종로구,46896036.57857627
1251,2021,3,조명용품,종로?청계 관광특구,24063000000.0,598,종로구,119006986.8122899
1252,2021,3,인테리어,종로?청계 관광특구,827589890.0,39,종로구,71707725.48448044
1253,2021,3,철물점,종로?청계 관광특구,139659722.0,24,종로구,14941510.865384616
1254,2021,3,가전제품,종로?청계 관광특구,3518431525.0,109,종로구,109830800.84537114
1255,2021,3,가구,종로?청계 관광특구,7185894.0,3,종로구,11904988.666666666
1256,2021,3,애완동물,종로?청계 관광특구,1512095184.0,35,종로구,132324555.56302522
1257,2021,3,화초,종로?청계 관광특구,58948333.0,14,종로구,17705597.307692308
1258,2021,3,섬유제품,종로?청계 관광특구,22976896101.0,307,종로구,239604319.92958513
1259,2021,3,운동/경기용품,종로?청계 관광특구,7244889096.0,65,종로구,366003661.2492733
1260,2021,3,화장품,종로?청계 관광특구,463209454.0,45,종로구,38357102.15819901
1261,2021,3,문구,종로?청계 관광특구,28869804117.0,100,종로구,833125165.625
1262,2021,3,서적,종로?청계 관광특구,558577318.0,50,종로구,33820243.898461536
1263,2021,3,의료기기,종로?청계 관광특구,7766220944.0,37,종로구,640716370.7987198
1264,2021,3,의약품,종로?청계 관광특구,7495716954.0,58,종로구,382690532.8809079
1265,2021,3,시계및귀금속,종로?청계 관광특구,13004931542.0,326,종로구,109844752.02757421
1266,2021,3,안경,종로?청계 관광특구,84098621.0,27,종로구,10227047.53042328
1267,2021,3,가방,종로?청계 관광특구,447006375.0,38,종로구,41779818.32388663
1268,2021,3,신발,종로?청계 관광특구,13525778656.0,560,종로구,72296102.09440836
1269,2021,3,일반의류,종로?청계 관광특구,8198707893.0,529,종로구,46430768.61590855
1270,2021,3,반찬가게,종로?청계 관광특구,858572954.0,40,종로구,61741082.630026996
1271,2021,3,청과상,종로?청계 관광특구,1002734639.0,12,종로구,212742713.07051283
1272,2021,3,수산물판매,종로?청계 관광특구,1073521715.0,12,종로구,247157950.4397436
1273,2021,3,육류판매,종로?청계 관광특구,1154881613.0,11,종로구,288368481.45454544
1274,2021,3,미곡판매,종로?청계 관광특구,322150154.0,4,종로구,287575725.25
1275,2021,3,핸드폰,종로?청계 관광특구,986043637.0,29,종로구,82366329.12413794
1276,2021,3,컴퓨터및주변장치판매,종로?청계 관광특구,1655443590.0,33,종로구,122256899.0199134
1277,2021,3,편의점,종로?청계 관광특구,4864469084.0,44,종로구,332375744.916514
1278,2021,3,슈퍼마켓,종로?청계 관광특구,4637494817.0,160,종로구,67486454.74624534
1279,2021,3,노래방,종로?청계 관광특구,193395597.0,26,종로구,24405427.15527066
1280,2021,3,고시원,종로?청계 관광특구,27407396.0,6,종로구,26282712.583333332
1281,2021,3,여관,종로?청계 관광특구,812580032.0,59,종로구,42513049.71763519
1282,2021,3,가전제품수리,종로?청계 관광특구,185670337.0,33,종로구,8270392.512310606
1283,2021,3,피부관리실,종로?청계 관광특구,263729335.0,19,종로구,25968568.82105263
1284,2021,3,네일숍,종로?청계 관광특구,15498467.0,7,종로구,4566519.714285715
1285,2021,3,미용실,종로?청계 관광특구,499295813.0,26,종로구,54626346.73931624
1286,2021,3,PC방,종로?청계 관광특구,150613562.0,5,종로구,92633846.39999999
1287,2021,3,골프연습장,종로?청계 관광특구,83946363.0,2,종로구,136499729.5
1288,2021,3,당구장,종로?청계 관광특구,469430956.0,28,종로구,49907139.42857143
1289,2021,3,한의원,종로?청계 관광특구,1753928372.0,18,종로구,302189399.6111111
1290,2021,3,치과의원,종로?청계 관광특구,4804497929.0,35,종로구,404445414.23333335
1291,2021,3,일반의원,종로?청계 관광특구,2676967373.0,34,종로구,246715841.11764705
1292,2021,3,스포츠 강습,종로?청계 관광특구,149414801.0,11,종로구,44902646.52727273
1293,2021,3,예술학원,종로?청계 관광특구,127081058.0,11,종로구,34121834.45454545
1294,2021,3,외국어학원,종로?청계 관광특구,2469595181.0,32,종로구,231613976.90625
1295,2021,3,일반교습학원,종로?청계 관광특구,203123215.0,13,종로구,33998069.11135531
1296,2021,3,커피-음료,종로?청계 관광특구,4756932861.0,145,종로구,97833802.24871777
1297,2021,3,호프-간이주점,종로?청계 관광특구,2509529772.0,85,종로구,105451636.90816626
1298,2021,3,분식전문점,종로?청계 관광특구,3432977631.0,137,종로구,79166308.83157095
1299,2021,3,치킨전문점,종로?청계 관광특구,1233403047.0,28,종로구,140048265.5714286
1300,2021,3,패스트푸드점,종로?청계 관광특구,475993731.0,27,종로구,49966661.44444445
1301,2021,3,제과점,종로?청계 관광특구,435273512.0,21,종로구,72032176.1452381
1302,2021,3,양식음식점,종로?청계 관광특구,1206665734.0,42,종로구,104507433.13369963
1303,2021,3,일식음식점,종로?청계 관광특구,1688441848.0,34,종로구,206234154.11051694
